"Number","Country","Detailed_Locations","Began","Ended","Duration_in_Days","Dead","Displaced","Damage_-USD","Type","Main_cause","Severity_index","flooded_area","Affected_sq_km","peak_discharge_Q","Peak_Water_level_h","Magnitude_-M**","Centroid_X","Centroid_Y","Notes_and_Comments","map_of_flood_extent"
"1","Albania","Northwestern Albania","2013-03-15T00:00:00.000Z","2013-04-12",29,0,"2800",0,"","Heavy Rain",1,"",3304,"","","4.9815523787",19.6182,42.0043,"April 11, 2013: ""OBOT, Albania (AP) -- Villagers in northwestern Albania are running out of patience after their homes have been surrounded by floodwaters for a month.They blame their ills on the operators of major hydropower dams that discharged vast quantities of water to keep levels manageable, and said Thursday the government has done little to ease their plight.""They get millions of euros selling the electricity produced by this water you see in my yard,"" farmer Hil Gjocaj said in Obot vill",""
"2","Albania","Northwest Albania, central Croatia, parts of Bosnia","2010-01-04T00:00:00.000Z","2010-01-13",10,0,"1500",0,"riverine flood","Heavy Rain",1.5,"10500 hectares",60173,"3.600 m3/sec","","5.9554963156",20.0828,41.4664,"January 11, 2010: Much of eastern Europe is experiencing some of its worst flooding in decades. In Albania, a combination of heavy snow followed by equally heavy rain has caused rivers to burst their banks.The authorities have been forced to discharge water from three hydro-electric power stations after danger levels were reached.Hardest-hit is Albania’s northwest where EU countries have sent boats, pumps and food to help out while 700 Albanian troops have been called up to organise an evacuatio","http://www.mapaction.org/map-catalogue/mapdetail/1967.html"
"3","Albania","Southern regions: Gjirokaster, Durres, Elbasan, Lezhe, Berat, Fier. Vlore, also the capital Tirana. Towns: Burrel, Rubik. Librazhd district","2005-11-30T00:00:00.000Z","2005-12-03",4,3,"0",0,"riverine flood","Heavy rain",1,"",10408,"","","4.6194285267",20.2064,40.4745,"Over 4,100 hectares of farmland flooded. Hundred houses damaged. 10,000 people isolated in the Librazhd district after floods destroyed a bridge.",""
"4","Albania","Shkodra district - Obot ","2004-12-04T00:00:00.000Z","2004-12-08",5,0,"0",173000,"riverine flood","Heavy rain",1,"",426,"","","3.3288360863",19.5485,42.04,"Heavy rain forces authorities to open gates of hydropower station - 400 houses and thousands of hectares submerged.\nMODIS observation of flooding around Lake Scutari near Shkodra on December 7, 8.",""
"5","Albania","Northern - Lezha and Shkoder regions. areas of Lac, Lezha, Shkodra and Kukes. \nSouthern - districts of Berat, Skrapar, Permet, Tepelena, Gjirokastra, Saranda and Korca. Osum River in Berat.\nTirana city flooded by drunk dam worker on Sep 27 ","2002-09-21T00:00:00.000Z","2002-10-08",18,1,"9700",17500000,"riverine flood","Heavy rain",1,"",11922,"","","5.3316259939",19.7738,41.3975,"""Tirana's deputy mayor resigned Tuesday after much of the Albanian capital was flooded when a drunken worker opened the gates of a nearby dam""CAUSE:Rain",""
"6","Albania","Northwest: Lezhe","1997-12-20T00:00:00.000Z","1997-12-23",4,0,"400",0,"coastal flood","Heavy rain",1,"",1640,"","","3.8170812283",19.7114,41.8429,"Flash floods.",""
"7","Albania","Northwest Albania: Lezha area","1996-11-19T00:00:00.000Z","1996-11-21",3,0,"50",0,"","Heavy Rain",1,"",1123,"","","3.5275164798",19.7026,41.7999,"Dozens of farmers lost homes and livestock. Railways flooded.",""
"8","Albania","Alaska: Anchorage, Kenai Peninsula, Matanuska-Susitna","1995-09-21T00:00:00.000Z","1995-09-24",4,4,"0",10000000,"flash flood","Heavy rain",1,"",17072,"","","4.8343451566",19.9654,41.6303,"Several hundred buildings flooded and residents evacuated.",""
"9","Albania","Provinces: Lezhe, Miredita, Laci","1995-08-19T00:00:00.000Z","1995-08-26",8,5,"0",0,"","Heavy rain",1,"",11109,"","","4.9487829366",19.9858,41.8101,"Farmland, power supplies, roads, bridges, and buildings destroyed.",""
"10","Albania","Kruja, Lac, Lezha, Shkdora, Tropja, Mirdita","1992-11-17T00:00:00.000Z","1992-11-19",3,7,"2000",7000000,"flash flood","Torrential rain",2,"",5619,"","up to 1 m inundation depth","4.5278458346",19.5629,42.0387,"",""
"11","Austria","Graz","2009-07-16T00:00:00.000Z","2009-07-19",4,0,"0",0,"riverine flood","Torrential Rain",1,"",2765,"","","4.0438226612",15.7089,47.4021,"19-Jul-09: ""Austrian city declared disaster zone due to flooding Officials declared the city of Graz, Austria a disaster area Officials in southern Austria have declared the city of Graz a disaster zone after torrential rains caused flooding.Officials told citizens to keep children and animals inside as temperatures dropped to 15 degrees Celsius (59 degrees Fahrenheit) and the snow line came down to 1,500 meters (4,900 feet).Heavy rains in recent days had saturated the ground and streams burst t",""
"12","Austria"," Towns along the Danube River in northern and western Austria","2009-06-19T00:00:00.000Z","2009-06-24",6,0,"0",0,"riverine flood","Heavy Rain",1,"",47134,"","","5.4514940247",18.0255,50.1269,"July 16: ""The floods that devastated portions of north Moravia will have a significant effect on the Czech economy over the course of 2009 as billions of crowns in government funds go to environmental and infrastructure recovery, forcing the government to reconsider its previously approved budget, said Finance Minister Eduard Janota.Heavy rainstorms took the north Moravian regions and Olomouc by surprise in the last week of June, killing 13 and leaving vast stretches of roadways and villages und",""
"13","Austria","Upper Austria - Towns: Perg, Linz, Grieskirchen, Schwarzenberg. Danube River\nLower Austria - Towns: Amstetten and Melk\nDanube River levels reach 50 year high in southern Hungary and along the border of Croatia and Yugoslavia in late March/early April","2002-03-21T00:00:00.000Z","2002-04-05",16,1,"10",0,"riverine flood","Heavy rain",1,"",2640,"","","4.6257584543",14.4178,48.2703,"""Authorities evacuated several homes and businesses in low-lying areas along the Danube River on Friday after two days of torrential rains caused widespread flooding in the river valley""\n""According to the Hungary Ministry of Transport and Water Management, the river reached its highest levels in 50 years last week ... the worst of the flooding ... took place in southern Hungary and along the border of Croatia and Yugoslavia. Large sections of woodland were mired in water and dozens of people we",""
"14","Austria","Austria - Salzburg\nGermany - Bavaria","1991-08-02T00:00:00.000Z","1991-08-06",5,10,"0",1000000000,"riverine flood","Heavy rain",2,"",61648,"9000 m3/s","","5.7899242047",13.3528,48.3136,"",""
"15","Austria","Provinces: Tyrol, Salzburg; Cities: Melk, Branunau Rivers: Danube, Inn, Gars, Gasteiner Ache","1985-08-07T00:00:00.000Z","1985-08-08",2,12,"0",0,"riverine flood","Heavy rain",2,"",15151,"","","4.7825027227",12.2066,47.3155,"""Authorities said flooding in some areas was the worst in 31 years.""CAUSE:Rain",""
"16","Belarus","Spring thaw on the Pripyat River and tributaries. ","2003-03-22T00:00:00.000Z","2003-05-05",45,0,"0",0,"riverine flood","Snow Melt",1,"",285012,"","","7.1080757204",25.203,52.5773,"No news reports. First MODIS observation on March 22, additional data on March 24, 26, 28, and April 2.",""
"17","Belarus","Brest, Gomel, Minsk regions","1999-03-07T00:00:00.000Z","1999-04-10",35,0,"2000",2277777,"riverine flood","Snowmelt",1,"",130388,"","","6.6593061678",25.9533,52.406,"Excessive spring snow melting ",""
"18","Belarus","Belarus - Gomel Region: Petrikov, Zhitkovichi and Leltchitsy districts. Brest Region: Tolin, Luninets and Pinsk districts. Prypyat River. -- Ukraine - Northern areas. Thearea, Rovno.","1993-07-25T00:00:00.000Z","1993-08-12",19,6,"42000",180000000,"riverine flood","Heavy rain",1,"",85364,"","","6.2100287142",27.5231,52.3665,"""IN THE THIRD QUARTER OF JULY 1993, BELARUS RECEIVED ABOUT THREE TIMES THE AVERAGE MONTHLY RATE OF RAINFALL""  DAMAGE: Belarus:100,000,000 -- Ukraine: 80,000,000 FATALITIES: 6 DISPLACED: Belarus: 27,000  -- Ukraine: 15,000CAUSE:Heavy rains for 40 days -- HECTARES FLOODED: Belarus: 267,000 Ha  -- Ukraine: 300,000 Ha",""
"19","Belarus ","Gomel Region ","2001-04-29T00:00:00.000Z","2001-05-01",3,0,"0",0,"riverine flood","Snowmelt",1,"",17380,"","","4.7171847701",29.032,52.0567,"""Rivers have burst their banks and flooded about 500,000 hectares of winter and spring crops in the Gomel region, south Belarus. Some roads and houses are flooded too. The water rise has stopped. "" CAUSE:Spring floods",""
"20","Belgium","Large parts of the country","2010-11-12T00:00:00.000Z","2010-11-15",4,3,"0",0,"riverine flood","Heavy Rain",1.5,"",8458,"","","4.7054671949",4.35761,50.8534,"November 11, 2010: ""At least theree people have died after widespread flooding hit Belgium over the weekend. Although the weather situation is said to be easing, large parts of the country remain underwater.In the Dutch speaking northern region of Flanders, hundreds of people from a town close to Brussels were still unable to go back to their homes Monday morning with concern a levee would give way. One Sint Pieters-Leeuw resident said:’‘We don’t know but they told us the levee near the plant wa",""
"21","Belgium","Antwerp, Dutch lowlands, Brabant province, Liege, Voeren, Wallonia, Truiden, Aarschot","1998-09-14T00:00:00.000Z","1998-09-16",3,1,"400",0,"riverine flood","Heavy rain",2,"",26853,"70.5 m3/s close to  mouth of Demer","","5.2071539277",4.98754,51.0242,"","https://earth.esa.int/web/earth-watching/natural-disasters/floods/content/-/asset_publisher/zaoP2lUloYKv/content/flood-belgium-september-1998"
"22","Bosnia","Central and Northern Regions: Bihac, Odzak","1996-09-20T00:00:00.000Z","1996-09-24",5,1,"0",0,"riverine flood","Heavy Rain",2,"",24391,"","","5.3872306745",17.0015,44.4291,"Worst flooding in decades.  Damage to multiple bridges.",""
"23","Bosnia and Herzegovina","","2010-06-22T00:00:00.000Z","2010-06-26",5,46,"0",0,"riverine flood","Heavy Rain",1,"",28641,"","","5.1559672796",17.705,43.9872,"June 23, 2010: Persistent rainfall has led to flooding throughout various regions in Bosnia and Herzegovina (BiH) , as rivers and streams are unable to accommodate the unseasonably wet conditions.Some communities have declared a state of emergency, and major transportation arteries have been cut due to flooding or landslides brought about by the abundant rains, reported the Sarajevo daily 'Dnevni Avaz' on Tuesday.According to the Federation Civil Protection Administration, five municipalities in",""
"24","Bosnia and Herzogovina","0","2009-02-01T00:00:00.000Z","2009-02-16",16,0,"0",0,"riverine flood","Heavy Rain",1,"",167873,"","","6.4291023606",0,0,"Feb. 15: ""-  Heavy rains in February have affected 10,000 families across the country. 20 districts of the city of Santa Cruz were flooded on the 13 Feb.""",""
"25","Bosnia-Hercegovenia","Northern part of Bosnia and Herzegovina","2009-07-07T00:00:00.000Z","2009-07-15",9,0,"0",0,"riverine flood","Heavy Rain",1,"",6060,"","","4.7367860769",17.4846,44.8711,"17-Jul-09: ""Flood,Bosnia-Hercegovenia: Heavy rainfall on 5-12 July has caused flooding in Tesanj municipality in the northern part of Bosnia and Herzegovina destroying the food reserves and damaging the houses of local communities.\n",""
"26","Bosnia-Herzegovina","Northwest and central Bosnia - Travnik (Nova Bila, Turbe). Vitez, Bugojno, Jajce, Gornji Vakuf, and Donji Vakuf. municipalitites: Srbac, Jezero, Sipovo, Sanski Most, Bihac, Kljuc, Travnik. Hrvatska Kostajnica.\nCroatia - Lipik, Pakrac.\nWestern Romania - Mures and Crisu valleys.","2004-04-12T00:00:00.000Z","2004-05-02",21,0,"1200",15200000,"riverine flood","Heavy rain",1,"",104997,"","","6.3433970125",17.7749,44.8661,"Bosnia - 5,000 homes flooded, hundreds of families evacuated. Several villages cut off. 10,000 hectares of land and 10 villages inundated in Srbac municipality. Highest levels on Sana river in 15 years. $15.2 million agricultural damage.\nMODIS observations: Flooding on the Sava river on April 16, 21, 23, 28, May 2. Sava river floods largely receded by May 11.\nFlooding along the Mures and Crisu rivers on April 9, 15, 16, 20. Flooding no longer visible in Romania after April 21.",""
"27","Bosnia-Herzegovina","Central Bosnia - Bugojno, Gonji Vakuf, Jajce. Ravno. Popovo polje","2004-03-23T00:00:00.000Z","2004-04-03",12,0,"0",0,"riverine flood","Heavy rain",1,"",47165,"","","5.7528025581",18.0251,45.289,"1,000 houses flooded in Bugojno. 200 hectares agricultural land destroyed in Popovo polje.\n""This has been caused partly by the rainfall and partly by the release of huge quantities of water from the Bilecko and Gorica reservoirs""\nMODIS observation of flooding along the Sava river on March 29, April 3.",""
"28","Bulgaria","Northern Greece and along the country's northeastern borders with Turkey; Bulgaria","2014-12-04T00:00:00.000Z","2014-12-14",11,40,"1000",0,"riverine flood","Heavy Rain",1.5,"",147616,"","","6.3866190541",27.7106,41.4579,"December 12, 2014: ""After heavy rain and flooding first struck over 1 week ago in northern and southern Bulgaria, the flood threat still remains across wide areas of southern Bulgaria.The same severe weather has been causing flooding in parts of northern Greece, where 5 people have died, and also in northern Turkey, in particular the city of Edirne.BulgariaThe provinces of Stara Zagora, Sliven, Haskovo, Pazardzhik, Plovdiv and Yambol are the worst affected. A state of emergency has been declared",""
"29","Bulgaria","Region of Burgas, Bulgaria","2014-09-05T00:00:00.000Z","2014-09-08",4,3,"0",0,"riverine flood","Torrential Rain",1,"",7804,"","","4.494430673",27.4879,42.6219,"September 7, 2014: ""Evacuation in the region of Burgas, Bulgaria, September 6. Photo by BGNES.\nThe current situation in the country poses no risk to people's lives and health, head of Bulgaria's Chief Directorate Fire Safety Nikolay Nikolov told Nova Tv, following the floods which claimed 3 lives, Saturday.\n\nAccording to Nikolov, however, the situation with the people who were evacuated and accommodated in crisis centers is still grave - there is no food, water, convenience goods, medical sup",""
"30","Bulgaria","Eastern Bulgaria; Varna district of Asparuhov; Varna, Dobrich and Veliko Tarnovo","2014-06-19T00:00:00.000Z","2014-06-25",7,12,"2000",0,"riverine flood","Torrential Rain",2,"",24415,"","","5.5337922352",27.0426,42.9445,"June 24, 2014: llegal logging accounts for 1/3 of the wood produced in the region of the flood-stricken Varna district of Asparuhovo, according to Agriculture Minister Dimitar Grekov.The Bulgarian Black Sea city of Varna reported a death toll of 12 and massive damage to the infrastructure and housing after heavy rain and severe flooding on Thursday.Speaking Tuesday in an interview for private TV station bTV, he informed 30% of a total of 1500 cubic meters of wood produced in the period 2010 – 20",""
"31","Bulgaria","Western Bulgaria","2012-02-01T00:00:00.000Z","2012-02-06",6,5,"1000",0,"riverine flood","Dam Break, Snowmelt, Heavy Rain",1.5,"",47136,"","","5.627602974",24.2576,42.555,"February 6, 2012: ""The rescue operation for the population of the flood-hit Haskovo municipality in southern Bulgaria continues despite the fact that the Cougar rescue helicopters are highly unsuitable for severe winter conditions.In a Monday interview for the morning broadcast of the Bulgarian National Television (BNT), Prime Minister Boyko Borisov explained that Cougar helicopters were not fit to use in winter conditions because they had no anti-icing and de-icing system, meaning that it was q",""
"32","Bulgaria","Including Central Greece","2010-02-13T00:00:00.000Z","2010-02-20",8,0,"0",0,"riverine flood","Heavy Rain",1,"",87346,"","","5.8443338038",27.3388,41.1603,"February 19, 2010: Tracts of farmland bordering on the Pineios River in Thessaly, central Greece, were submerged yesterday after the river broke its banks, just a few days after the Evros and Kastoria rivers overflowed, provoking widespread flooding in the broader region.It is the first time in three decades that three rivers have overflowed in different parts of the country almost simultaneously, causing widespread damage and disruption.According to farmers in Trikala, the overflowing Pineios h",""
"33","Bulgaria","Razgrad Region - Tsar-Kaloyan. Rousse region, Montana region. Pazarjik, Bansko","2007-08-05T00:00:00.000Z","2007-08-08",4,8,"0",0,"riverine flood","Dam/Levy, break or release",1,"",13953,"","","4.7467437705",26.5834,43.5443,"Heavy rains follow long heatwave. Flash floods from overflowing Ezerche dam in Tsar Kaloyan kill 8. 200 homes damaged, 100 destroyed.",""
"34","Bulgaria","Plovdiv, Lovech, Gabrovo, Sofia. Aitos, Etropole, Veliko Tarnovo. Krasnovo, Gelemenovo, Saraya, Trudovetz, Pazardzhik","2007-05-22T00:00:00.000Z","2007-06-06",16,2,"0",0,"riverine flood","Heavy rain",1,"",34006,"","","5.7356761717",24.5016,42.5232,"Municipalities of Pazardzhik and Plovdiv declare state of emergency. 200 houses flooded in Gelemenovo.",""
"35","Bulgaria","Southern Bulgaria - Rhodopi Mountains. Sofia District. Pazardzhik, Smolyan, Vratsa, Plovdiv, Pleven. Dolna Banya, Ihtiman, Kostenets, Gorna Malina, Botevgrad, Svoge, and Sofia.","2005-08-04T00:00:00.000Z","2005-08-11",8,7,"12000",0,"riverine flood","Heavy rain",1,"",44209,"","","5.5486018572",24.4644,42.2671,"Floods and landslides in southern Bulgaria. Hundreds houses flooded.\nMODIS observation of high levels on the Iskar river near xxx on August 9.",""
"36","Bulgaria","Counties: Ruse, Silistra, Lovech, Veliko Tarnovo, Gabrovo, Pernik and Kyustendil, Sofia and Pleven. towns: Ruse, Lovech, Pleven, Silistra, Osem, Vit, Smolian, Plovdiv, Vratsa, Dobrotitsa, Apriltsi","2005-05-26T00:00:00.000Z","2005-06-13",19,6,"0",10000000,"riverine flood","Heavy rain",1,"",71253,"","","6.1315585839",25.2691,43.1307,"Several days of heavy rain, ""heaviest rainfall in Bulgaria for the last 50 years"". 16,000  hectares crops inundated in northeast Bulgaria. Villages isolated. More than 100 villages and small towns affected by floods. Damges 15 million levs.\nJune 13 - Flooding persists in municipalities of Mezdra, Iskar, Pernik and Svoge in Sofia region.\nMODIS observation of flooding east of Pleven on May 30.",""
"37","Bulgaria","Rhodopes mountains. area of Krumovgrad","2002-09-25T00:00:00.000Z","2002-09-28",4,0,"0",0,"riverine flood","Heavy rain",1,"",4486,"","","4.2539463668",26.6294,42.245,"""Severe flooding in southern Bulgaria has cut off roads to three mountain villages, leaving their 800 inhabitants isolated from the rest of the country for two days, the civil defence service said Friday. Heavy rainfall since Thursday has swept away bridges and destroyed roads in the Rhodopes mountain range in southern Bulgaria. ""CAUSE:Rain",""
"38","Bulgaria","Regions: Plovdiv, Khaskovo, Rhodopes.  Towns: Studena, Pravoslaven Rivers: Selsa, Chaya.","2002-07-28T00:00:00.000Z","2002-07-31",4,0,"0",0,"riverine flood","Heavy rain",1,"",8401,"","","4.5264054506",25.4251,41.8628,"""Heavy rains have swelled rivers and burst two dams in southern Bulgaria, causing intense floods that have ravaged villages, roads, and farmland for two days… rainfall in the Plovdiv region in July has exceeded the month's norms by three to four times""CAUSE:Rain and dam breaks",""
"39","Bulgaria","Central Bulgaria town of Veliko Tarnovo","2002-05-30T00:00:00.000Z","2002-06-01",3,0,"20",0,"riverine flood","Heavy rain",2,"",70,"","","2.627347624",25.6338,43.0853,"""Around 100 buildings were flooded and over 20 people evacuated amid record flash floods in central Bulgaria ...The rainfall Thursday evening was the most intense on record...""CAUSE:Rain",""
"40","Bulgaria","Bourgas, Varna, Plovdiv, Yambol, Sofia, Meric","1997-12-14T00:00:00.000Z","1998-02-16",65,1,"200",0,"riverine flood","Snowmelt",1,"",62742,"","","6.6104771141",28.5065,40.8159,"",""
"41","Croatia","Central and southern Croatia - Coastal towns of Senj and Otocac. Neretva river at town of Metkovic. -- Yugoslavia - Montenegro Republic. Zeta River in Danilovgrad and surrounding towns. Cetinje, Kotor.","2000-12-28T00:00:00.000Z","2000-12-30",3,0,"2000",0,"riverine flood","Heavy rain",1,"",1048,"","","3.4975364064",15.1101,44.9481,"Croatia -""In the southern part of the country, around the town of Metkovic, 490 kilometers south of Zagreb, the Neretva river flooded some hundred houses and devastated vegetable plantations"" Montenegro -""The rising level of the Zeta River swamped sections of Danilovgrad and other towns in the area, forcing residents to evacuate more than 400 homes. "" DISPLACED: Croatia: nd -- Yugoslavia: 2000CAUSE:Heavy rains ",""
"42","Croatia","Northern Croatia","1998-09-15T00:00:00.000Z","1998-09-16",2,0,"0",10000000,"riverine flood","Heavy rain",1,"",20621,"","","4.6153500376",16.833,45.7638,"",""
"43","Czech Republic","Northeastern Czech Republic, southern, central, and northern Poland, Hungary, Slovakia","2010-05-15T00:00:00.000Z","2010-05-24",10,12,"0",0,"riverine flood","Heavy Rain",2,"",121758,"","","6.3865303549",19.644,49.7736,"May 30, 2010: ""German Chancellor Angela Merkel along with Brandenburg's state premier Matthias Platzeck paid a visit to Frankfurt an der Oder near the Polish border on Saturday to show her support for rescue workers trying to contain the worst floods in the region since 1997.Merkel praised the team effort between Polish and German authorities and rescue workers, Germany’s international broadcaster Deutsche Welle reported.""We are seeing very close cooperation here,"" she said during an inspection ",""
"44","Czech Republic","Eastern Czech Republic, southern Poland","2009-06-21T00:00:00.000Z","2009-06-28",8,13,"0",0,"riverine flood","Heavy Rain",1.5,"",571677,"","","6.836332209",23.312,0,"July 1, 2009:  Dartmouth Flood Observatory's River Watch sites and MODIS mapping of flooding in May and June show extensive areas under water (see http://www.dartmouth.edu/~floods/hydrography/E20S10.html).  Although flooding in these areas is a seaonal ocurrence, exceedance of the  5 yr recurrence interval flood is demonstrated at many Botswana and Angola River Watch sites (e..g. http://www.dartmouth.edu/~floods/AMSR-E%20Gaging%20Reaches/1272.htm). This is unusually severe and sustained flooding",""
"45","Czech Republic","Czech Republic - South Bohemia - Moravia and Silesia - Jesenik region, Bruntal area, Opava, Krnov\nAustria - Upper Austria - Steyr.  Lower Austria - Wachau region, St. Pölten, Lilienfeld, Melk. Burgenland\nHungary - northwestern areas along Danube river.","2007-09-06T00:00:00.000Z","2007-09-10",5,0,"300",0,"riverine flood","Heavy rain",1.5,"",66614,"","","5.6986294491",16.346,48.9081,"Czech Republic - worst floods in 100 years in Jesenik. Several villlages evacuated.\nAustria - Steyr city flooded by Enns river. Danbue at highest levels in 20 years. Erlauf river floods parts of St. Pölten.",""
"46","Czech Republic","Czech Republic: Ostrava, Prague, Vestec, Bonov, Usti nad Labem, Znojmo, Hodonin, Terezin, Theresienstadt, Melnik, Olomouc, Breclav, Novosedly, Decin, Brno \nGermany: States - Saxony (Dresden), Saxony-Anhalt, Brandenburg\nAustria: Upper and Lower Austria, Lintz","2006-03-28T00:00:00.000Z","2006-04-17",21,9,"11000",217000000,"riverine flood","Rain and snowmelt",2,"",196114,"","","6.9157590619",16.0942,49.862,"Czech Republic: 45 cities and towns affected, over 20 rivers at dangerous flood levels.  500-hectare (1,235 acre) lake has developed on farmland around Breclav.  48,000 hectares of farmland flooded total.\nAustria: Dam on the March River burst on 4/3 flooding Duernkrut in Eastern Austria.  A second dam broke on 4/4 8 km downstream from Duernkrut.  516 people evacuated.  Protective barrier on a dam in Stillfried broke on 4/5.\nGermany: 1,000 evacuated along Czech border.  Elbe was 13 cm higher th",""
"47","Czech Republic","Southern Moravia region - Blansko, Zdar. Rivers: Becva, Hodoninka. ","2002-08-07T00:00:00.000Z","2002-08-16",10,17,"50000 (2200000)",2147483647,"riverine flood","Heavy rain",1,"17000 km2",1326,"5300 m3/s","800 cm water level in river (1m inundation depth of Prague)","3.7246952119",16.6355,49.5355,"""Two women, aged 64 and 66, died in southern Moravia on Monday, and five villages were flooded and several houses damaged by waters up to two meters (six feet) high""CAUSE:Rain",""
"48","Czech Republic","Czech Republic: Jaromer on the Elbe River; also Mlada Boleslav. -- Western Romania: Tisza, Iza and Viseu rivers. -- Also: northern Slovakia","2000-03-09T00:00:00.000Z","2000-03-11",3,2,"0",0,"riverine flood","Snowmelt",1,"",16470,"","","4.6938166997",17.9439,49.2438,"Heavy rains and warm temperatures for last three daysCAUSE:Rain-on-snow",""
"49","Czech Republic","East Bohemia - Rychnov District","1998-07-23T00:00:00.000Z","1998-07-24",2,6,"0",3180000,"riverine flood","Heavy rain",1,"",11,"","","1.3786340638",19.3608,48.8573,"Flash Flood",""
"50","Czech Republic","Eastern regions","1997-07-02T00:00:00.000Z","1997-07-24",23,48,"40000",2100000000,"riverine flood","Heavy rain",2,"11000 km2",34986,"","","6.2066603162",17.1002,49.6816,"Soybean, corn, and cotton fields flooded.  Tens of thousands of cattle drowned.",""
